,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst
sloss,0.1985974270227183,0.9710686917738107,0.20488293697696783,0.9961094729148002,0.017366392234573112,-0.0429232450388954,-0.04466728563623139,0.0751663872538341,-0.028891398188404405,0.008099953419702762,1.0,0.01797034093302401,-0.009673866717923373,0.0007589477075192322,0.0005401497019088154,0.002481015042479867,0.081976039852723,0.06815085068502709,0.06283894499452941,0.08234664586112662,0.05141059154492928,0.047151991165592315,0.050195787269489485,0.22982632764999586,0.016538219309787206,0.0035643221830639967,-0.00184645082094801,-0.045124406135363115,-0.036654893326307066,-0.0369646427022651,-0.039157747556754496,-0.041109076823888674,-0.045856625861021995,0.0056883832794324225,0.0056883832794324225,-0.0020487707847186964,-0.0387949632455654,-0.045459269263119884
dloss,0.14296286061590455,0.20779760733970296,0.9786363765709863,0.006804145095521266,0.9965035947623478,-0.07525881219277157,-0.1626284259676109,0.035476464269358486,-0.05117039341550497,0.12314654507228466,0.01797034093302401,1.0,-0.017159294902847597,-0.008041534823390064,-0.0020743950291292113,0.049959771305121824,0.1439396597204688,0.11155265763838039,0.11107719575454703,0.14536121701327975,0.010221467540553711,0.0055955184417778485,0.014029150375001985,-0.03091296857227971,0.42953318532659945,0.028518942804700444,0.46212853607124377,-0.05931021223298182,-0.11470789097965303,-0.054537677725746816,-0.06641112184718596,-0.0722025351099713,-0.0709054256622105,0.007762788727582979,0.007762788727582979,0.048868915095736445,-0.057412133662364216,-0.05860548395919939
sinpkt,0.08005478228107604,-0.017586900590851922,-0.0221599437348745,-0.006565299037265671,-0.013617875799480436,-0.0757453843838864,-0.206571211460439,-0.08189648718588005,-0.0487565938535646,-0.03764908692053918,-0.009673866717923373,-0.017159294902847597,1.0,0.09576114682619752,0.04824229604281712,0.010503827608901959,-0.10777993350889832,-0.08546596823849596,-0.08514538431917014,-0.10795807061257663,-0.05672773126372247,-0.05238876211025489,-0.05500148814716037,-0.05143953326500081,-0.061109183561654026,-0.016572846332838793,-0.005106843895088126,-0.09008331889489242,0.10242531635101357,-0.07224124367154568,-0.06085073733598024,-0.05765865332275095,-0.08159548099626308,-0.014457562696095242,-0.014457562696095242,-0.018828808409030437,-0.08113046763643543,-0.08698798185494241
dinpkt,0.15214174946155007,-0.0016783621564143254,-0.0065144797702016395,2.389568997020864e-05,-0.007700527045477952,-0.0515388447916007,-0.003215486696388221,0.09799948595146525,-0.03484008883910538,-0.02432354754380964,0.0007589477075192322,-0.008041534823390064,0.09576114682619752,1.0,0.6731042707797301,0.3047130800829343,0.06817605058651499,0.05214314696231365,0.053880797415872095,0.06911355630282548,0.09288209457968201,0.08992514998931508,0.08561202302255826,0.004595002121343185,-0.014194921749432843,0.0044527631723258005,-0.0027354021315664652,-0.04261695917787004,-0.04310768091805482,-0.04278106995060023,-0.03873111795661916,-0.03964406406858674,-0.04285562195075409,0.0022549936169497897,0.0022549936169497897,0.0466548388947705,-0.042445070627531674,-0.045648051756993414
sjit,0.14441309085341913,-0.0003843660260020867,0.00022901073785305335,-0.0020535643740452396,-0.0024218932657647974,-0.06337009835342021,0.02267590758698892,0.14740140901532603,-0.04244685030491498,-0.02945911544506953,0.0005401497019088154,-0.0020743950291292113,0.04824229604281712,0.6731042707797301,1.0,0.46684858985756644,0.11850551880609166,0.088917247477629,0.09648399241990745,0.11934700390152805,0.13799843188653765,0.13236949238495405,0.1285209751923578,0.004459813619913286,0.00019803452176900884,0.010819847730308491,-0.0014217897849458851,-0.045479678400152664,-0.037931831884289426,-0.04659172662129408,-0.043927363663833166,-0.04574659856411176,-0.04733843422891394,0.005798170817538358,0.005798170817538358,0.0880522296363284,-0.0451079630808892,-0.04971070224440692
djit,0.1574431916257455,0.017096146203211735,0.05437073352874482,-0.0035164216148638214,0.04735388647376816,-0.08580232170565028,-0.12343529025583724,0.10126156407981153,-0.05802137591488255,-0.03296592516365418,0.002481015042479867,0.049959771305121824,0.010503827608901959,0.3047130800829343,0.46684858985756644,1.0,0.16065312958918557,0.12478083295146945,0.12703434012163356,0.1622567764613647,0.08328281500565919,0.07734304860656727,0.08028741457722163,-0.017772872564604646,0.1853834585924372,0.06233089612134042,0.013075355334455183,-0.08205295687084685,-0.11389456840880903,-0.05729628391717335,-0.07116541066738684,-0.07584088709836687,-0.0815177351032728,0.08101445666493977,0.08101445666493977,0.10056333534368471,-0.06237195078901503,-0.08208717000670833
swin,0.022047196568700883,0.13181274754610078,0.18370293952258698,0.050449829259529406,0.11314812142778012,-0.5156805239704272,-0.4168434026798799,0.7462465503881848,-0.3524044469724278,0.2706926163780949,0.081976039852723,0.1439396597204688,-0.10777993350889832,0.06817605058651499,0.11850551880609166,0.16065312958918557,1.0,0.7812149404258777,0.7816351259988472,0.9901399299415929,0.5697518462400536,0.5289619480988704,0.549425822723942,0.16858312035570233,0.4768759798125486,0.1490275190794187,0.043214153262877565,-0.45354515261434947,-0.5575336991063731,-0.41237858248519477,-0.45308433887748834,-0.497973497070657,-0.4921175029101482,0.12955455719523015,0.12955455719523015,0.20731329046066818,-0.4021892395175381,-0.4662448609408467
stcpb,0.013182768039913176,0.10741012715952929,0.14411880733440482,0.043163819540462396,0.08689442690065292,-0.4087495411370394,-0.3373053006430103,0.5927892500488867,-0.2771688803868495,0.2152566905344514,0.06815085068502709,0.11155265763838039,-0.08546596823849596,0.05214314696231365,0.088917247477629,0.12478083295146945,0.7812149404258777,1.0,0.6498790909556029,0.7888342470347157,0.4542204010979165,0.4228056301521579,0.4368331758869658,0.13820813944000096,0.38061858260115766,0.11949624875606464,0.02838482728732602,-0.3646434107596066,-0.47850768044594383,-0.3262156879067515,-0.3539269731000991,-0.38960727692661445,-0.3945791628869487,0.09753632748999504,0.09753632748999504,0.16169626981414464,-0.3189679933551799,-0.3731171915879582
dtcpb,0.014724496883065314,0.10216058755401361,0.14266724408092646,0.03798751105576111,0.08645281270496481,-0.4090462666970533,-0.33411412637783966,0.5967704444227657,-0.2773578981490677,0.2116983424587438,0.06283894499452941,0.11107719575454703,-0.08514538431917014,0.053880797415872095,0.09648399241990745,0.12703434012163356,0.7816351259988472,0.6498790909556029,1.0,0.7893866556387971,0.45498503627301556,0.4228236289308862,0.4383118498800225,0.13636522165035128,0.3775540094679702,0.11530049663264146,0.03675003574435279,-0.3648783876704668,-0.4775427559162727,-0.3275302365718016,-0.3540685465476972,-0.38958110291212233,-0.3945662528048966,0.10040976162751433,0.10040976162751433,0.17203195153110962,-0.3176512687992819,-0.37404974233042076
dwin,0.017527416589927115,0.13310169195513202,0.1855550620878609,0.05098140505170484,0.11426884947302196,-0.5181167101712193,-0.4243202290970141,0.7540175796097222,-0.3513107548300722,0.27365122547100657,0.08234664586112662,0.14536121701327975,-0.10795807061257663,0.06911355630282548,0.11934700390152805,0.1622567764613647,0.9901399299415929,0.7888342470347157,0.7893866556387971,1.0,0.5754476712724192,0.5343137609223373,0.5548501275343802,0.17312150825986047,0.48201750545176797,0.15049910675990433,0.0436408758974437,-0.4612167101027692,-0.6061249642520001,-0.415255382229466,-0.44857356432408935,-0.49357161054560866,-0.49971601585259673,0.1308338570956623,0.1308338570956623,0.20936042703066493,-0.4039874577183519,-0.4738211318654155
tcprtt,0.05312467630153719,0.03918661847298854,0.020914777521110702,0.04362390367774649,0.0039072239841310644,-0.3007938745422091,0.03977713040388611,0.8073405596752501,-0.20329536802121384,-0.13549718922199708,0.05141059154492928,0.010221467540553711,-0.05672773126372247,0.09288209457968201,0.13799843188653765,0.08328281500565919,0.5697518462400536,0.4542204010979165,0.45498503627301556,0.5754476712724192,1.0,0.9494676611067603,0.9417603738127356,0.16202171384799757,0.04385458765778433,0.10031820914214706,0.012316740622217532,-0.3027031033407611,-0.1105279125028308,-0.286773036602448,-0.26480258870270523,-0.28088305192372687,-0.2902408032790738,0.06771515899564869,0.06771515899564869,0.16333221883231278,-0.2780129381710407,-0.3167125076672621
synack,0.05109273957294994,0.03550689255832622,0.015935628207801134,0.03973928669277655,0.00010144828640491752,-0.279270890719711,0.042589758081623776,0.7469996936368721,-0.18875318288838105,-0.12518417025245204,0.047151991165592315,0.0055955184417778485,-0.05238876211025489,0.08992514998931508,0.13236949238495405,0.07734304860656727,0.5289619480988704,0.4228056301521579,0.4228236289308862,0.5343137609223373,0.9494676611067603,1.0,0.7886230642444023,0.15053687121614695,0.03270007576865182,0.08768817794806212,0.009374768195045416,-0.27627475063298373,-0.10119998288001672,-0.2645774834543143,-0.24451062966936776,-0.26055956305049494,-0.2658082945870712,0.056793600448548434,0.056793600448548434,0.1449062399476857,-0.2564753536972943,-0.2896046513605185
ackdat,0.04933152304564056,0.038725339094160725,0.02389915928154007,0.04288348198733334,0.007545751806055195,-0.29005059042723674,0.03229337657062061,0.7812614669727019,-0.19602967123539575,-0.13131949612805308,0.050195787269489485,0.014029150375001985,-0.05500148814716037,0.08561202302255826,0.1285209751923578,0.08028741457722163,0.549425822723942,0.4368331758869658,0.4383118498800225,0.5548501275343802,0.9417603738127356,0.7886230642444023,1.0,0.15611868193651604,0.0508774353540519,0.1025765045785686,0.014084687831439943,-0.2970010235893049,-0.10810085005342339,-0.2783260480971303,-0.25678510287936046,-0.27109220056952626,-0.2838008462481267,0.07180692485129174,0.07180692485129174,0.16471886197774327,-0.2698454548921805,-0.31016407068284463
smean,0.09002756851395949,0.21659160151573414,0.014697086913375295,0.23234838906967784,-0.03663521905386057,-0.11323197512627944,-0.010028843647243279,0.19436665768879227,0.22385616546068807,-0.08398962976291607,0.22982632764999586,-0.03091296857227971,-0.05143953326500081,0.004595002121343185,0.004459813619913286,-0.017772872564604646,0.16858312035570233,0.13820813944000096,0.13636522165035128,0.17312150825986047,0.16202171384799757,0.15053687121614695,0.15611868193651604,1.0,-0.08970887260100402,0.04300793671901882,-0.015837807337488848,-0.16775266504382869,-0.0682029357879344,-0.16265090696891557,-0.16909125057250218,-0.19902115184948801,-0.15221924895550137,-0.04329807104030073,-0.04329807104030073,0.017900703590081276,-0.15971784884036397,-0.1712033233063873
dmean,0.025335859390116466,0.15023718914893583,0.44144456005886146,-0.004973334102698394,0.4199651071988956,-0.2733233004979605,-0.5503894995829526,0.14018448969333316,-0.18643869998008133,0.5506015865127344,0.016538219309787206,0.42953318532659945,-0.061109183561654026,-0.014194921749432843,0.00019803452176900884,0.1853834585924372,0.4768759798125486,0.38061858260115766,0.3775540094679702,0.48201750545176797,0.04385458765778433,0.03270007576865182,0.0508774353540519,-0.08970887260100402,1.0,0.10333275131115299,0.18568715340122463,-0.22474400439963935,-0.4648882425827189,-0.20372948955871703,-0.2444633189838728,-0.2641708392909657,-0.2793256624266709,-0.023998638659094032,-0.023998638659094032,0.1294358521296278,-0.20160364254766408,-0.22796401328217572
trans_depth,0.002070823011605758,0.008834406041955586,0.029041992587623328,0.003428113540745105,0.030912137810931575,-0.07855573990605226,-0.06390374922534137,0.15245024241216323,-0.05311495157689048,-0.027110199018749878,0.0035643221830639967,0.028518942804700444,-0.016572846332838793,0.0044527631723258005,0.010819847730308491,0.06233089612134042,0.1490275190794187,0.11949624875606464,0.11530049663264146,0.15049910675990433,0.10031820914214706,0.08768817794806212,0.1025765045785686,0.04300793671901882,0.10333275131115299,1.0,0.045519584976935326,-0.09319655210400495,-0.07462780481371625,-0.06921631102511168,-0.06996893236313959,-0.07389359842293897,-0.08441151493257733,-0.016177488254034086,-0.016177488254034086,0.2261516423463959,-0.06531362563032936,-0.09390137530265018
response_body_len,0.0789152089178386,0.08721719224498814,0.44219392237801664,0.0016201325782401173,0.4709052067599683,-0.02275187330006288,-0.05045413658382137,0.01642510045626034,-0.015418844848779567,0.024878085912682094,-0.00184645082094801,0.46212853607124377,-0.005106843895088126,-0.0027354021315664652,-0.0014217897849458851,0.013075355334455183,0.043214153262877565,0.02838482728732602,0.03675003574435279,0.0436408758974437,0.012316740622217532,0.009374768195045416,0.014084687831439943,-0.015837807337488848,0.18568715340122463,0.045519584976935326,1.0,-0.027820320912410792,-0.027612844274946424,-0.016102184986883268,-0.020610709638781245,-0.021714866056686932,-0.021633257856568753,-0.004691056129342778,-0.004691056129342778,0.06523827573766451,-0.018091074707206785,-0.027302623334982585
ct_srv_src,-0.1137094791215288,-0.06912675307094626,-0.07909532222832402,-0.034394774740183036,-0.04552931694484309,0.35770365443189,0.3460790945263132,-0.4173378502004275,0.1382917824261319,-0.08058234750876311,-0.045124406135363115,-0.05931021223298182,-0.09008331889489242,-0.04261695917787004,-0.045479678400152664,-0.08205295687084685,-0.45354515261434947,-0.3646434107596066,-0.3648783876704668,-0.4612167101027692,-0.3027031033407611,-0.27627475063298373,-0.2970010235893049,-0.16775266504382869,-0.22474400439963935,-0.09319655210400495,-0.027820320912410792,1.0,0.3614029433374157,0.8412804888192741,0.8660103830154462,0.8235830768433492,0.9671378245460094,-0.08982686012586294,-0.08982686012586294,-0.12011125410899047,0.781051220142435,0.9803230099911133
ct_state_ttl,0.18629347567520876,-0.08616987657309148,-0.15002326264913418,-0.012053051757889451,-0.08994359176620716,0.43153426037990794,0.6723247538867887,-0.262362240471765,0.2901356028938358,-0.3731467873346582,-0.036654893326307066,-0.11470789097965303,0.10242531635101357,-0.04310768091805482,-0.037931831884289426,-0.11389456840880903,-0.5575336991063731,-0.47850768044594383,-0.4775427559162727,-0.6061249642520001,-0.1105279125028308,-0.10119998288001672,-0.10810085005342339,-0.0682029357879344,-0.4648882425827189,-0.07462780481371625,-0.027612844274946424,0.3614029433374157,1.0,0.3024203539531929,0.35377787205497474,0.393091390670343,0.42770496070604164,-0.07505849074179095,-0.07505849074179095,-0.09727041333957058,0.29663751524217513,0.3642002108269073
ct_dst_ltm,-0.08630007628356633,-0.060194215892593765,-0.07190902642880061,-0.02666080809103765,-0.042632910236113736,0.3172294309887481,0.271382991905279,-0.3816783022276459,0.0764705956217489,-0.10095349566996573,-0.0369646427022651,-0.054537677725746816,-0.07224124367154568,-0.04278106995060023,-0.04659172662129408,-0.05729628391717335,-0.41237858248519477,-0.3262156879067515,-0.3275302365718016,-0.415255382229466,-0.286773036602448,-0.2645774834543143,-0.2783260480971303,-0.16265090696891557,-0.20372948955871703,-0.06921631102511168,-0.016102184986883268,0.8412804888192741,0.3024203539531929,1.0,0.9620518416459877,0.8706444443777488,0.8522524164885429,-0.048526782971576074,-0.048526782971576074,-0.0855400565772535,0.88607180146945,0.8525834503496502
ct_src_dport_ltm,-0.09409084744420212,-0.06837252804479046,-0.08669452430923262,-0.026489956206996065,-0.052134785305048274,0.3535885722161648,0.34410367850907675,-0.3663082951389474,0.1001178209915542,-0.14357324758422368,-0.039157747556754496,-0.06641112184718596,-0.06085073733598024,-0.03873111795661916,-0.043927363663833166,-0.07116541066738684,-0.45308433887748834,-0.3539269731000991,-0.3540685465476972,-0.44857356432408935,-0.26480258870270523,-0.24451062966936776,-0.25678510287936046,-0.16909125057250218,-0.2444633189838728,-0.06996893236313959,-0.020610709638781245,0.8660103830154462,0.35377787205497474,0.9620518416459877,1.0,0.9067931558835277,0.8699407842496868,-0.06405498174775583,-0.06405498174775583,-0.08569903672234608,0.8974378792235619,0.868850077327565
ct_dst_sport_ltm,-0.09392305696919727,-0.07248398276416722,-0.09426667665247855,-0.027281462635280213,-0.056901128370982657,0.39072147985428757,0.3799297487880336,-0.3894292394011594,0.08246213528357668,-0.1534288764834984,-0.041109076823888674,-0.0722025351099713,-0.05765865332275095,-0.03964406406858674,-0.04574659856411176,-0.07584088709836687,-0.497973497070657,-0.38960727692661445,-0.38958110291212233,-0.49357161054560866,-0.28088305192372687,-0.26055956305049494,-0.27109220056952626,-0.19902115184948801,-0.2641708392909657,-0.07389359842293897,-0.021714866056686932,0.8235830768433492,0.393091390670343,0.8706444443777488,0.9067931558835277,1.0,0.83867846364128,-0.06530510280856384,-0.06530510280856384,-0.0865942738079072,0.8030132947210862,0.8301524161853394
ct_dst_src_ltm,-0.101759653924583,-0.07755315204622779,-0.09408487488720846,-0.03206092398361709,-0.05463344419634001,0.3830938276752135,0.4043458256620795,-0.4034652274199721,0.1550304922083806,-0.16119219337508406,-0.045856625861021995,-0.0709054256622105,-0.08159548099626308,-0.04285562195075409,-0.04733843422891394,-0.0815177351032728,-0.4921175029101482,-0.3945791628869487,-0.3945662528048966,-0.49971601585259673,-0.2902408032790738,-0.2658082945870712,-0.2838008462481267,-0.15221924895550137,-0.2793256624266709,-0.08441151493257733,-0.021633257856568753,0.9671378245460094,0.42770496070604164,0.8522524164885429,0.8699407842496868,0.83867846364128,1.0,-0.06257400442302094,-0.06257400442302094,-0.10612931498184607,0.7837533954330579,0.9723704538697349
is_ftp_login,0.02064114432701033,0.00995085335607183,0.013490670489541558,-0.00451504134047373,-0.010460456828903836,-0.0681399488713343,-0.12415723691174338,0.10720832205349148,-0.046194257605285116,-0.02780962323341305,0.0056883832794324225,0.007762788727582979,-0.014457562696095242,0.0022549936169497897,0.005798170817538358,0.08101445666493977,0.12955455719523015,0.09753632748999504,0.10040976162751433,0.1308338570956623,0.06771515899564869,0.056793600448548434,0.07180692485129174,-0.04329807104030073,-0.023998638659094032,-0.016177488254034086,-0.004691056129342778,-0.08982686012586294,-0.07505849074179095,-0.048526782971576074,-0.06405498174775583,-0.06530510280856384,-0.06257400442302094,1.0,1.0,-0.022504624260337985,-0.04632628781209376,-0.08751110601240464
ct_ftp_cmd,0.02064114432701033,0.00995085335607183,0.013490670489541558,-0.00451504134047373,-0.010460456828903836,-0.0681399488713343,-0.12415723691174338,0.10720832205349148,-0.046194257605285116,-0.02780962323341305,0.0056883832794324225,0.007762788727582979,-0.014457562696095242,0.0022549936169497897,0.005798170817538358,0.08101445666493977,0.12955455719523015,0.09753632748999504,0.10040976162751433,0.1308338570956623,0.06771515899564869,0.056793600448548434,0.07180692485129174,-0.04329807104030073,-0.023998638659094032,-0.016177488254034086,-0.004691056129342778,-0.08982686012586294,-0.07505849074179095,-0.048526782971576074,-0.06405498174775583,-0.06530510280856384,-0.06257400442302094,1.0,1.0,-0.022504624260337985,-0.04632628781209376,-0.08751110601240464
ct_flw_http_mthd,0.02474275626929239,0.0060836473361464615,0.04797437835418174,-0.0021846821575385107,0.05140283836350033,-0.10929713007984758,-0.11283280735912157,0.22365176243049162,-0.07392024651681676,-0.0392462539115513,-0.0020487707847186964,0.048868915095736445,-0.018828808409030437,0.0466548388947705,0.0880522296363284,0.10056333534368471,0.20731329046066818,0.16169626981414464,0.17203195153110962,0.20936042703066493,0.16333221883231278,0.1449062399476857,0.16471886197774327,0.017900703590081276,0.1294358521296278,0.2261516423463959,0.06523827573766451,-0.12011125410899047,-0.09727041333957058,-0.0855400565772535,-0.08569903672234608,-0.0865942738079072,-0.10612931498184607,-0.022504624260337985,-0.022504624260337985,1.0,-0.07476842077889391,-0.11870868161748503
ct_src_ltm,-0.080871404132728,-0.0615842073070787,-0.07518990188604316,-0.027478820907564244,-0.045593726731439875,0.3108764759312431,0.27325195319754964,-0.3654039613338972,0.08441238975623401,-0.09814887126784681,-0.0387949632455654,-0.057412133662364216,-0.08113046763643543,-0.042445070627531674,-0.0451079630808892,-0.06237195078901503,-0.4021892395175381,-0.3189679933551799,-0.3176512687992819,-0.4039874577183519,-0.2780129381710407,-0.2564753536972943,-0.2698454548921805,-0.15971784884036397,-0.20160364254766408,-0.06531362563032936,-0.018091074707206785,0.781051220142435,0.29663751524217513,0.88607180146945,0.8974378792235619,0.8030132947210862,0.7837533954330579,-0.04632628781209376,-0.04632628781209376,-0.07476842077889391,1.0,0.7778914761278722
