split,feature,category,count,pct
training,proto,vrrp,100,0.057
training,proto,iatp,100,0.057
training,proto,sm,100,0.057
training,proto,isis,100,0.057
training,proto,l2tp,100,0.057
training,proto,stp,100,0.057
training,proto,fire,100,0.057
training,proto,ptp,100,0.057
training,proto,merit-inp,100,0.057
training,proto,sps,100,0.057
training,proto,skip,100,0.057
training,proto,idpr,100,0.057
training,proto,smp,100,0.057
training,proto,srp,100,0.057
training,proto,i-nlsp,100,0.057
training,proto,larp,100,0.057
training,proto,encap,100,0.057
training,proto,ipip,100,0.057
training,proto,ifmp,100,0.057
training,proto,tp++,100,0.057
training,proto,a/n,100,0.057
training,proto,micp,100,0.057
training,proto,mhrp,100,0.057
training,proto,ipx-n-ip,100,0.057
training,proto,sdrp,100,0.057
training,proto,tlsp,100,0.057
training,proto,ippc,100,0.057
training,proto,ddx,100,0.057
training,proto,visa,100,0.057
training,proto,secure-vmtp,100,0.057
training,proto,crudp,100,0.057
training,proto,trunk-2,99,0.0565
training,proto,cbt,99,0.0565
training,proto,leaf-2,99,0.0565
training,proto,crtp,99,0.0565
training,proto,ggp,99,0.0565
training,proto,ip,99,0.0565
training,proto,ipnip,99,0.0565
training,proto,st2,99,0.0565
training,proto,nvp,99,0.0565
training,proto,igp,99,0.0565
training,proto,emcon,99,0.0565
training,proto,pup,99,0.0565
training,proto,mux,99,0.0565
training,proto,chaos,99,0.0565
training,proto,xnet,99,0.0565
training,proto,prm,99,0.0565
training,proto,iso-tp4,99,0.0565
training,proto,irtp,99,0.0565
training,proto,dcn,99,0.0565
training,proto,xns-idp,99,0.0565
training,proto,trunk-1,99,0.0565
training,proto,leaf-1,99,0.0565
training,proto,bbn-rcc,98,0.0559
training,proto,rdp,98,0.0559
training,proto,hmp,98,0.0559
training,proto,egp,98,0.0559
training,proto,argus,98,0.0559
training,proto,netblt,98,0.0559
training,proto,igmp,18,0.0103
training,proto,icmp,15,0.0086
training,proto,rtp,1,0.0006
training,service,-,94168,53.7056
training,service,dns,47294,26.9726
training,service,http,18724,10.6786
training,service,smtp,5058,2.8847
training,service,ftp-data,3995,2.2784
training,service,ftp,3428,1.955
training,service,ssh,1302,0.7426
training,service,pop3,1105,0.6302
training,service,dhcp,94,0.0536
training,service,snmp,80,0.0456
training,service,ssl,56,0.0319
training,service,irc,25,0.0143
training,service,radius,12,0.0068
training,state,INT,82275,46.9229
training,state,FIN,77825,44.3849
training,state,CON,13152,7.5008
training,state,REQ,1991,1.1355
training,state,RST,83,0.0473
training,state,ECO,12,0.0068
training,state,PAR,1,0.0006
training,state,URN,1,0.0006
training,state,no,1,0.0006
testing,proto,tcp,43095,52.343
testing,proto,udp,29418,35.7309
testing,proto,unas,3515,4.2693
testing,proto,arp,987,1.1988
testing,proto,ospf,676,0.8211
testing,proto,sctp,324,0.3935
testing,proto,any,96,0.1166
testing,proto,gre,88,0.1069
testing,proto,rsvp,64,0.0777
testing,proto,ipv6,61,0.0741
testing,proto,sep,58,0.0704
testing,proto,sun-nd,54,0.0656
testing,proto,swipe,52,0.0632
testing,proto,mobile,52,0.0632
testing,proto,pim,52,0.0632
testing,proto,xns-idp,34,0.0413
testing,proto,leaf-1,34,0.0413
testing,proto,bbn-rcc,34,0.0413
testing,proto,prm,34,0.0413
testing,proto,irtp,33,0.0401
testing,proto,mux,33,0.0401
testing,proto,pup,33,0.0401
testing,proto,dcn,33,0.0401
testing,proto,trunk-1,33,0.0401
testing,proto,hmp,33,0.0401
testing,proto,trunk-2,33,0.0401
testing,proto,leaf-2,33,0.0401
testing,proto,netblt,33,0.0401
testing,proto,rdp,33,0.0401
testing,proto,egp,33,0.0401
testing,proto,emcon,33,0.0401
testing,proto,nvp,33,0.0401
testing,proto,chaos,33,0.0401
testing,proto,ipnip,33,0.0401
testing,proto,ggp,33,0.0401
testing,proto,cbt,33,0.0401
testing,proto,iso-tp4,33,0.0401
testing,proto,st2,33,0.0401
testing,proto,argus,33,0.0401
testing,proto,xnet,33,0.0401
testing,proto,ip,33,0.0401
testing,proto,igp,33,0.0401
testing,proto,tp++,32,0.0389
testing,proto,ipv6-no,32,0.0389
testing,proto,ddp,32,0.0389
testing,proto,3pc,32,0.0389
testing,proto,idpr,32,0.0389
testing,proto,ipv6-frag,32,0.0389
testing,proto,ipv6-route,32,0.0389
testing,proto,tlsp,32,0.0389
testing,proto,sdrp,32,0.0389
testing,proto,wsn,32,0.0389
testing,proto,ipv6-opts,32,0.0389
testing,proto,sat-expak,32,0.0389
testing,proto,cftp,32,0.0389
testing,proto,kryptolan,32,0.0389
testing,proto,sat-mon,32,0.0389
testing,proto,cpnx,32,0.0389
testing,proto,idpr-cmtp,32,0.0389
testing,proto,mhrp,32,0.0389
testing,proto,idrp,32,0.0389
testing,proto,rvd,32,0.0389
testing,proto,i-nlsp,32,0.0389
testing,proto,narp,32,0.0389
testing,proto,skip,32,0.0389
testing,proto,merit-inp,32,0.0389
testing,proto,mfe-nsp,32,0.0389
testing,proto,il,32,0.0389
testing,proto,nsfnet-igp,32,0.0389
testing,proto,ttp,32,0.0389
testing,proto,vines,32,0.0389
testing,proto,wb-mon,32,0.0389
testing,proto,br-sat-mon,32,0.0389
testing,proto,pvp,32,0.0389
testing,proto,vmtp,32,0.0389
testing,proto,ippc,32,0.0389
testing,proto,eigrp,32,0.0389
testing,proto,aes-sp3-d,32,0.0389
testing,proto,sprite-rpc,32,0.0389
testing,proto,larp,32,0.0389
testing,proto,mtp,32,0.0389
testing,proto,tcf,32,0.0389
testing,proto,dgp,32,0.0389
testing,proto,qnx,32,0.0389
testing,proto,pnni,32,0.0389
testing,proto,ifmp,32,0.0389
testing,proto,gmtp,32,0.0389
testing,proto,pri-enc,32,0.0389
testing,proto,encap,32,0.0389
testing,proto,micp,32,0.0389
testing,proto,scps,32,0.0389
testing,proto,ipcv,32,0.0389
testing,proto,visa,32,0.0389
testing,proto,bna,32,0.0389
testing,proto,cphb,32,0.0389
testing,proto,wb-expak,32,0.0389
testing,proto,secure-vmtp,32,0.0389
testing,proto,ax.25,32,0.0389
testing,proto,ipip,32,0.0389
testing,proto,iatp,32,0.0389
testing,proto,xtp,32,0.0389
testing,proto,iso-ip,32,0.0389
testing,proto,fc,32,0.0389
testing,proto,etherip,32,0.0389
testing,proto,aris,32,0.0389
testing,proto,a/n,32,0.0389
testing,proto,ipcomp,32,0.0389
testing,proto,snp,32,0.0389
testing,proto,compaq-peer,32,0.0389
testing,proto,ipx-n-ip,32,0.0389
testing,proto,pgm,32,0.0389
testing,proto,vrrp,32,0.0389
testing,proto,l2tp,32,0.0389
testing,proto,zero,32,0.0389
testing,proto,ddx,32,0.0389
testing,proto,fire,32,0.0389
testing,proto,stp,32,0.0389
testing,proto,srp,32,0.0389
testing,proto,uti,32,0.0389
testing,proto,sm,32,0.0389
testing,proto,smp,32,0.0389
testing,proto,isis,32,0.0389
testing,proto,ptp,32,0.0389
testing,proto,iplt,32,0.0389
testing,proto,crtp,32,0.0389
testing,proto,crudp,32,0.0389
testing,proto,sccopmce,32,0.0389
testing,proto,sps,32,0.0389
testing,proto,pipe,32,0.0389
testing,proto,ib,31,0.0377
testing,proto,igmp,30,0.0364
testing,service,-,47153,57.2718
testing,service,dns,21367,25.9522
testing,service,http,8287,10.0653
testing,service,smtp,1851,2.2482
testing,service,ftp,1552,1.8851
testing,service,ftp-data,1396,1.6956
testing,service,pop3,423,0.5138
testing,service,ssh,204,0.2478
testing,service,ssl,30,0.0364
testing,service,snmp,29,0.0352
testing,service,dhcp,26,0.0316
testing,service,radius,9,0.0109
testing,service,irc,5,0.0061
testing,state,FIN,39339,47.7809
testing,state,INT,34163,41.4942
testing,state,CON,6982,8.4803
testing,state,REQ,1842,2.2373
testing,state,ACC,4,0.0049
testing,state,RST,1,0.0012
testing,state,CLO,1,0.0012
